league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,time,match_report
,2022,Argentina,2020-10-08 Argentina-Ecuador,2020-10-08,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Ecuador,0,0,0,,1,0,0,0,0,21:30:00,/en/matches/7522e278/Argentina-Ecuador-October-8-2020-WCQ----CONMEBOL-M
,2022,Argentina,2020-10-13 Bolivia-Argentina,2020-10-13,WCQ — CONMEBOL (M),Tue,Away,W,2,1,Bolivia,3,1,2,66.7,0,0,0,0,0,16:00:00,/en/matches/01c1a72a/Bolivia-Argentina-October-13-2020-WCQ----CONMEBOL-M
,2022,Argentina,2020-11-12 Argentina-Paraguay,2020-11-12,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Paraguay,2,1,1,50.0,0,1,1,0,0,21:00:00,/en/matches/56fb3a7a/Argentina-Paraguay-November-12-2020-WCQ----CONMEBOL-M
,2022,Argentina,2020-11-17 Peru-Argentina,2020-11-17,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Peru,1,0,1,100.0,1,0,0,0,0,19:30:00,/en/matches/56afac20/Peru-Argentina-November-17-2020-WCQ----CONMEBOL-M
,2022,Argentina,2021-06-03 Argentina-Chile,2021-06-03,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Chile,1,1,0,0.0,0,0,0,0,0,21:00:00,/en/matches/abb99f80/Argentina-Chile-June-3-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-06-08 Colombia-Argentina,2021-06-08,WCQ — CONMEBOL (M),Tue,Away,D,2,2,Colombia,5,2,3,60.0,0,1,1,0,0,18:00:00,/en/matches/1dba7872/Colombia-Argentina-June-8-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-09-02 Venezuela-Argentina,2021-09-02,WCQ — CONMEBOL (M),Thu,Away,W,3,1,Venezuela,3,1,2,66.7,0,1,1,0,0,20:00:00,/en/matches/28fd5b50/Venezuela-Argentina-September-2-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-09-09 Argentina-Bolivia,2021-09-09,WCQ — CONMEBOL (M),Thu,Home,W,3,0,Bolivia,3,0,3,100.0,1,0,0,0,0,20:30:00,/en/matches/6bb2c7a9/Argentina-Bolivia-September-9-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-10-07 Paraguay-Argentina,2021-10-07,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Paraguay,3,0,3,100.0,1,0,0,0,0,20:00:00,/en/matches/8b02e7bd/Paraguay-Argentina-October-7-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-10-10 Argentina-Uruguay,2021-10-10,WCQ — CONMEBOL (M),Sun,Home,W,3,0,Uruguay,6,0,6,100.0,1,0,0,0,0,20:30:00,/en/matches/60d07fdd/Argentina-Uruguay-October-10-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-10-14 Argentina-Peru,2021-10-14,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Peru,3,0,3,100.0,1,1,0,0,1,20:30:00,/en/matches/20eb96e2/Argentina-Peru-October-14-2021-WCQ----CONMEBOL-M
,2022,Argentina,2021-11-12 Uruguay-Argentina,2021-11-12,WCQ — CONMEBOL (M),Fri,Away,W,1,0,Uruguay,4,0,4,100.0,1,0,0,0,0,20:00:00,/en/matches/3118bc39/Uruguay-Argentina-November-12-2021-WCQ----CONMEBOL-M
